iter	Logloss
0	0.6858473186
1	0.6825703935
2	0.6787779304
3	0.6765739977
4	0.6700161026
5	0.667318164
6	0.6627171178
7	0.6586843281
8	0.6544331367
9	0.6509713837
10	0.6487586623
11	0.6483224578
12	0.6467730486
13	0.646772668
14	0.641999218
15	0.6387913015
16	0.6343887408
17	0.6317716029
18	0.6285132359
19	0.6277570735
20	0.6231221586
21	0.6185213366
22	0.6149760917
23	0.6108119071
24	0.6077286549
25	0.6043878646
26	0.6036593691
27	0.6019023147
28	0.5983958751
29	0.5973456833
30	0.5952930125
31	0.5919211378
32	0.5893463714
33	0.5854033983
34	0.5841879876
35	0.582320712
36	0.5773270935
37	0.5746620788
38	0.5740849076
39	0.5727191019
40	0.5722606865
41	0.5694720164
42	0.5682485189
43	0.5656069509
44	0.5614420718
45	0.5594329885
46	0.5544478421
47	0.5527608229
48	0.548808374
49	0.5471914846
50	0.5438353676
51	0.5432248945
52	0.5408125932
53	0.5389899527
54	0.5366947701
55	0.5347713818
56	0.5347713473
57	0.5341309825
58	0.5307946479
59	0.528111614
60	0.5254700027
61	0.52312936
62	0.5194106527
63	0.5175320378
64	0.5150962836
65	0.5145122651
66	0.5140306775
67	0.5120874649
68	0.5111592909
69	0.5084431146
70	0.5077586067
71	0.5059663008
72	0.5046166809
73	0.503818644
74	0.5019810692
75	0.5013913775
76	0.4998733317
77	0.4990643843
78	0.4969762243
79	0.4945948361
80	0.4920574365
81	0.4888676995
82	0.4861011596
83	0.4837221823
84	0.482648972
85	0.4816024994
86	0.4799074021
87	0.4793136692
88	0.4786125927
89	0.4764928414
90	0.475354214
91	0.4750573118
92	0.4738808506
93	0.4722285085
94	0.4713563839
95	0.4704341134
96	0.4692131071
97	0.4677582643
98	0.4671318545
99	0.4661769376
