iter	Passed	Remaining
0	3	308
1	5	271
2	8	282
3	11	266
4	13	256
5	16	250
6	18	245
7	20	238
8	23	238
9	25	232
10	28	229
11	32	235
12	34	229
13	37	229
14	40	227
15	42	223
16	44	219
17	47	216
18	49	212
19	52	208
20	54	205
21	57	202
22	59	198
23	61	195
24	64	192
25	66	189
26	69	186
27	71	184
28	74	182
29	77	179
30	79	177
31	83	176
32	86	174
33	88	171
34	90	168
35	93	166
36	95	163
37	98	160
38	100	157
39	103	154
40	105	151
41	107	148
42	110	145
43	112	142
44	114	140
45	117	137
46	119	134
47	121	131
48	123	128
49	125	125
50	129	124
51	131	121
52	134	118
53	136	116
54	138	113
55	140	110
56	143	107
57	145	105
58	147	102
59	149	99
60	152	97
61	154	94
62	157	92
63	159	89
64	161	86
65	163	84
66	166	81
67	168	79
68	170	76
69	173	74
70	175	71
71	177	69
72	180	66
73	183	64
74	185	61
75	188	59
76	190	57
77	193	54
78	196	52
79	198	49
80	201	47
81	203	44
82	206	42
83	208	39
84	210	37
85	212	34
86	215	32
87	217	29
88	219	27
89	221	24
90	225	22
91	227	19
92	229	17
93	231	14
94	234	12
95	236	9
96	239	7
97	243	4
98	245	2
99	250	0
